id,datetime,created_at,tweet
1098965558853337089,2019-02-22 15:19:41,22-02-2019 15:19:41,"Mais um ano mais uma live, domingo tem Oscar e vou comentar ao vivo no canal https://t.co/TrgSfF7hQu , com alguns convidados vamos dar nossas apostas e opiniões sobre os filmes. #Oscars2019... https://t.co/dyIhVqhMO6"
1098965216031842304,2019-02-22 15:18:19,22-02-2019 15:18:19,"RT @Nerdbunker: Os filmes de herói no Oscar: muitas indicações, mas poucas vitórias. Confira quem perdeu, quem ganhou, Marvel Vs DC no cine…"
1098964283751202816,2019-02-22 15:14:37,22-02-2019 15:14:37,GASABAR OSCARS 2019! #Oscars2019
1098963986664558593,2019-02-22 15:13:26,22-02-2019 15:13:26,"RT @CCBB_SP: 🎬 | A cerimônia de entrega do #Oscars2019 acontece no próximo domingo (24), a partir das 22h (horário de Brasília). E aí, quai…"
1098963359993679873,2019-02-22 15:10:57,22-02-2019 15:10:57,"RT @CCBB_SP: 🎬 | A cerimônia do #Oscars2019 acontece neste domingo (24), e algumas personalidades da sétima arte com indicações à Academia…"
1098963250312634368,2019-02-22 15:10:31,22-02-2019 15:10:31,"(sei que to atrasado em um dia, mas... é isto!)

Assim como ano passado, o @UCICinemas está fazendo uma maratona com os filmes indicados ao #Oscars2019 e aqui está uma tabelinha pra galera de São Luís-MA acompanhar.

Obs: todas as sessões são legendadas, exceto quando indicado. https://t.co/eQwrPl5e3u"
1098962870967193600,2019-02-22 15:09:00,22-02-2019 15:09:00,A pergunta que não quer calar é: Por que Rami Malek merece um Oscar e Claudia Rodrigues nunca fui reconhecida por usar uma dentadura? #Oscars2019 #BohemianRhapsody  #nãofazsentido https://t.co/9zrZU6etcN
1098962733117128704,2019-02-22 15:08:27,22-02-2019 15:08:27,"🎬 | A cerimônia de entrega do #Oscars2019 acontece no próximo domingo (24), a partir das 22h (horário de Brasília). E aí, quais são seus palpites? https://t.co/OTRLp8ONVk"
1098962724594302976,2019-02-22 15:08:25,22-02-2019 15:08:25,"🎬 | A cerimônia do #Oscars2019 acontece neste domingo (24), e algumas personalidades da sétima arte com indicações à Academia e premiações tiveram mostras no @CCBB_SP recentemente. Quer saber mais? Desce a linha! https://t.co/TPDD4ffJ18"
1098961040350560256,2019-02-22 15:01:44,22-02-2019 15:01:44,"Vice - O percurso de Dick Cheney, de operário a Vice-Presidente dos EUA. Em exibição nos cinemas UCI.
+info: https://t.co/N5iOLk882W
#UCICinemas #Vice #Oscars2019 https://t.co/lBvZqhyAPM"
1098959031694225409,2019-02-22 14:53:45,22-02-2019 14:53:45,"#FraseCloseUp
          @murguiaregina 
                      “Nunca te Rindas”
.
.
.
.
#ReginaMurguia #CloseUpJalisco #Jns #90sPopTour #ReginaEnYoutube #Oscars2019 https://t.co/1aZh103n8O"
1098958965638135808,2019-02-22 14:53:29,22-02-2019 14:53:29,"RT @Nerdbunker: Os filmes de herói no Oscar: muitas indicações, mas poucas vitórias. Confira quem perdeu, quem ganhou, Marvel Vs DC no cine…"
1098957288570830848,2019-02-22 14:46:49,22-02-2019 14:46:49,Olha um pouquinho do que vai rolar na nossa LIVE de preparação para o OSCAR no YouTube!!! Domingo 21h (Brasília) / 0h (Portugal)! #Oscars #Oscars2019 #OscarCamera7 https://t.co/moHNZTBk5E
1098954179178049540,2019-02-22 14:34:28,22-02-2019 14:34:28,"Para animar essa sexta, tem post novo no blog! Algumas apostas de looks para o #Oscars2019 diretamente das semanas de moda:
https://t.co/8eR97XD4IB https://t.co/9mrx4Snay3"
1098953971241271297,2019-02-22 14:33:38,22-02-2019 14:33:38,"RT @PapoFuradoPod: Olá, amigos! Está saindo diretamente da Fornada do Herói nosso episódio sobre o Oscar 2019. Contamos com a presença espe…"
1098953356180111360,2019-02-22 14:31:12,22-02-2019 14:31:12,"Aproveitando a semana dos #Oscars , segue uma dica de lançamento nas telonas em breve, um cinebiografia do cantor @eltonofficial: ROCKETMAN
#Rocketman #EltonJohn #Oscars2019 https://t.co/wMkhNvV5qU"
1098952209918758912,2019-02-22 14:26:39,22-02-2019 14:26:39,"Os filmes de herói no Oscar: muitas indicações, mas poucas vitórias. Confira quem perdeu, quem ganhou, Marvel Vs DC no cinema e mais!  https://t.co/QASudeaTIL #Oscars #Oscars2019 https://t.co/4CGsAEPqa8"
1098952043123879936,2019-02-22 14:25:59,22-02-2019 14:25:59,"RT @NEToficial: @TNTbr @ClaroBrasil A gente vai acompanhar tudinho do #Oscars2019 com vocês no domingo, @TNTbr. 😁"
1098950799093350400,2019-02-22 14:21:02,22-02-2019 14:21:02,"RT @wickedoficial19: É já dia 24 🔥 Oscars, é o próximo tema do Dave Wolf Rodriguez com videoclipe realizado pela Transform 🤘🤘 Vais perder?…"
1098949871539761152,2019-02-22 14:17:21,22-02-2019 14:17:21,"Expectativas sobre ""Nasce uma estrela"" estão diminuindo... #Oscars2019 #OSCARIZOU https://t.co/o0J6FFpRad"
1098948869034004480,2019-02-22 14:13:22,22-02-2019 14:13:22,"RT @ArrobaNerd: Pantera Negra chegou no Oscar, o que será que leva? E a guerra fria em preto e branco entre Cold War e Roma? A Favorita é o…"
1098948647310557185,2019-02-22 14:12:29,22-02-2019 14:12:29,"É já dia 24 🔥 Oscars, é o próximo tema do Dave Wolf Rodriguez com videoclipe realizado pela Transform 🤘🤘 Vais perder? #Oscars #Oscars2019 #davewolfrodriguez #wicked #transformvideos #videoclip #hiphop #trapmusic #wckd #wickedstudios https://t.co/KwvtZplMmj"
1098948382415036416,2019-02-22 14:11:26,22-02-2019 14:11:26,"Pantera Negra chegou no Oscar, o que será que leva? E a guerra fria em preto e branco entre Cold War e Roma? A Favorita é o favorito para melhor filme? 

Palpites e apostas para #Oscars2019 ! https://t.co/YAshITBNC5 https://t.co/PO7WBBSXoC"
1098947820617416705,2019-02-22 14:09:12,22-02-2019 14:09:12,"RT @PapoFuradoPod: Olá, amigos! Está saindo diretamente da Fornada do Herói nosso episódio sobre o Oscar 2019. Contamos com a presença espe…"
1098946989952241664,2019-02-22 14:05:54,22-02-2019 14:05:54,"RT @NEToficial: @TNTbr @ClaroBrasil A gente vai acompanhar tudinho do #Oscars2019 com vocês no domingo, @TNTbr. 😁"
1098946043142643712,2019-02-22 14:02:08,22-02-2019 14:02:08,"@Radio98Oficial Nenhum deles... #BohemianRhapsody atuação de Rami Malek como Freddie Mercury foi o grande papel da vida dele, foi elevado ao “Olimpo” de atuação. #Oscars2019"
1098945230383001600,2019-02-22 13:58:54,22-02-2019 13:58:54,"Lembrando que a nossa live comentando os 8 indicados a Melhor Filme começa às 20h, não percam! #Oscars2019 https://t.co/b0exHDlHRU"
1098944583369715712,2019-02-22 13:56:20,22-02-2019 13:56:20,"Pra mim tá faltando Tom Hanks. Sempre tinha que ter ele. Melhor ator ever! Em Náufrago ele segura um filme inteiro praticamente sozinho!
VÍDEO: https://t.co/1j9hCe1yyS
#Oscars2019 #SextaDetremuraSDV #sextou https://t.co/3k1cp0Nwhj"
1098944331350769667,2019-02-22 13:55:20,22-02-2019 13:55:20,"RT @PapoFuradoPod: Olá, amigos! Está saindo diretamente da Fornada do Herói nosso episódio sobre o Oscar 2019. Contamos com a presença espe…"
1098944103486799873,2019-02-22 13:54:26,22-02-2019 13:54:26,"Olá, amigos! Está saindo diretamente da Fornada do Herói nosso episódio sobre o Oscar 2019. Contamos com a presença especialíssima do crítico de cinema e (agora) podcaster @marcelomiranda1! Façam suas apostas!

#Oscars #Oscars2019

https://t.co/rAJ6G6wQi9

https://t.co/OGtoJ2kuka https://t.co/pVpwut5jyn"
1098943872460312582,2019-02-22 13:53:31,22-02-2019 13:53:31,"Domingo, no Oscar, só existe uma opção para melhor filme que é Roma. Venceu tudo até aqui e é melhor que os membros da Academia mantenham a coerência. #Oscars #Oscars2019"
1098942479125147648,2019-02-22 13:47:59,22-02-2019 13:47:59,"Mais um ano mais uma live, domingo tem Oscar e vou comentar ao vivo no canal https://t.co/TrgSfF7hQu, com alguns convidados vamos dar nossas apostas e opiniões sobre os filmes. #Oscars2019 #Oscarnovoltorama #Voltorama #voltoramaaovivo https://t.co/LKG3sjXug9"
1098939426967904256,2019-02-22 13:35:51,22-02-2019 13:35:51,"Já vi:
A Star Is Born
Roma
Bohemian Rhapsody

Pretendo ver esse fds:
The Favourite
Green Book
The Wife #Oscars2019"
1098938024971378688,2019-02-22 13:30:17,22-02-2019 13:30:17,"A propósito, neste domingo, o Pin aqui vai comandar a cobertura mais Incrível do Oscar 😉 Marca todo mundo e vem com a gente 🐧 #Oscars2019"
1098937955148853249,2019-02-22 13:30:00,22-02-2019 13:30:00,"Antes de cantar com o #Queen no #Oscars2019, #AdamLambert lança novo single

https://t.co/mTE7guixB7"
1098937797480726530,2019-02-22 13:29:22,22-02-2019 13:29:22,"Sábado é dia de #RainhadasRainhas2019
Vai passar na tv liberal

E domingo #Oscars2019 

Arranjar uns snacks que o fim de semana vai ser enfurnada em casa!"
1098937524398055424,2019-02-22 13:28:17,22-02-2019 13:28:17,"Quem leva ou você torce que ganhe a desejada estatueta ? 2°

#OscarNaPan
 
#Oscars2019"
1098937523278172160,2019-02-22 13:28:17,22-02-2019 13:28:17,"Quem leva ou você torce que levante a desejada estatueta ? 1°
  #Oscars2019 
#OscarNaPan"
1098936070748676096,2019-02-22 13:22:31,22-02-2019 13:22:31,"Pra mim o melhor do Oscar vai ser o Choque de Cultura. 

#OscarnaPan #Oscars2019 https://t.co/84jTOo3kgi"
1098933475351187461,2019-02-22 13:12:12,22-02-2019 13:12:12,"RT @JrsLopes: Minha aposta de melhor filme é Roma
#OscarnaPan #Oscars2019"
1098932886592540675,2019-02-22 13:09:52,22-02-2019 13:09:52,"RT @JrsLopes: Minha aposta de melhor filme é Roma
#OscarnaPan #Oscars2019"
1098932596124368902,2019-02-22 13:08:42,22-02-2019 13:08:42,"Minha aposta de melhor filme é Roma
#OscarnaPan #Oscars2019"
1098931760111542273,2019-02-22 13:05:23,22-02-2019 13:05:23,Qual dos portáteis de Série 7 merece o teu voto para melhor desempenho? #Oscars2019
1098931273249288193,2019-02-22 13:03:27,22-02-2019 13:03:27,"meu Top 5 filmes do #Oscars2019  em ordem:

1. Cafarnaum
2. Shoplifters
3. Roma
4. A Favorita
5. Guerra Fria

menção honrosa pra Infiltrado na Klan que é muito bem feio e tem um estilo irado"
1098928389551996930,2019-02-22 12:51:59,22-02-2019 12:51:59,"@pablovillaca Ficamos extremamente gratos pelo seu retorno, Pablo! Opiniões como essa nos motivam a seguir em frente! Abraços 🙂 #oscars2019"
1098925608309002240,2019-02-22 12:40:56,22-02-2019 12:40:56,"RT @weederia: Bom dia, Brasil!
Indicados ao Oscar vão ganhar chocolate com maconha...
Irão chapados a premiação?
https://t.co/x7DYuYG9Df…"
1098925169198985217,2019-02-22 12:39:12,22-02-2019 12:39:12,"Bom dia, Brasil!
Indicados ao Oscar vão ganhar chocolate com maconha...
Irão chapados a premiação?
https://t.co/x7DYuYG9Df   #Oscars2019 #sextou"
1098923796558434304,2019-02-22 12:33:44,22-02-2019 12:33:44,"Dos artistas indicados ao #Oscars2019, 28% são mulheres. Achou pouco? Pois é — e essa é a maior porcentagem da história da premiação... https://t.co/L1dLty2rpA"
1098923260446691329,2019-02-22 12:31:36,22-02-2019 12:31:36,FALTAM DOIS DIAS *-* - Confira os indicados ao Oscar 2019 --&gt; https://t.co/nUe2HQeqAL #TánoLeiaJá #Oscars2019 https://t.co/6MOpKfZtx4
1098917159059611650,2019-02-22 12:07:22,22-02-2019 12:07:22,"#CafeComJornal Megale ""deu dentro"". Cenário brega do #Oscars2019 Jonalista de Esquerda acha normal caviar enquanto MILHÕES morrem de fome. Final: #Oscars só serve para promover filme que ninguém veria se não ganhasse #Oscars"
1098916610084143104,2019-02-22 12:05:11,22-02-2019 12:05:11,Ainda bem que #Oscars2019 domingo pq a rinite veio pra me atormentar e me tirar do sério
1098916568816410624,2019-02-22 12:05:01,22-02-2019 12:05:01,"Saiu a crítica de #AFavorita, bem à tempo para o #Oscar2019 - https://t.co/mSTUocKOou
#TheFavourite #Oscars2019 https://t.co/dilLsT0T6U"
1098913887678881792,2019-02-22 11:54:22,22-02-2019 11:54:22,"#Oscars2019 #Espectáculos
📞 #MoskitaMuerta, crítico.

#Ahora #MdzRadio 👇 
🎧 https://t.co/Pnlxs9qMQ6 | 105.5 FM https://t.co/3Me9ywIH3H"
